phi_center,psi_center,n,n_structures,k_empirical_secant,ci_lo,ci_hi,ci_width,k_amber_ff14SB_verified,delta_k,well_supported,ci_excludes_amber
-165.0,155.0,3710,2647,0.861143852022271,0.8351633092466095,0.888744369526308,0.053581060279698445,7.269935127402635,-6.408791275380365,True,True
-165.0,165.0,4804,3233,0.832232380795629,0.8086880629315899,0.8545097812699713,0.045821718338381445,7.269935127402635,-6.437702746607006,True,True
-165.0,175.0,2534,2012,0.8389611461403886,0.8097047589571187,0.8721637569786709,0.06245899802155219,7.269935127402635,-6.430973981262246,True,True
-155.0,-175.0,1379,1187,1.0321340578431244,0.9874951759055541,1.0753764532662289,0.08788127736067475,1.1887805565570515,-0.1566464987139271,True,True
-155.0,-165.0,552,514,1.0642476025863856,1.0000149384136665,1.137149988822907,0.13713505040924057,1.1887805565570515,-0.12453295397066588,True,True
-155.0,-155.0,175,171,0.9954682682198813,0.8824446650357767,1.1074881234960292,0.22504345846025253,1.1887805565570515,-0.19331228833717018,True,True
-155.0,-145.0,61,60,0.91966836860894,0.7071435035333155,1.1655421862713469,0.4583986827380314,1.1887805565570515,-0.26911218794811154,False,True
-155.0,-135.0,30,30,0.5787883059787753,0.3431791986848767,0.824497313822351,0.48131811513747436,1.1887805565570515,-0.6099922505782762,False,True
-155.0,-125.0,19,19,0.5953817318545573,0.32325495223919226,0.9387183250089881,0.6154633727697958,1.1887805565570515,-0.5933988247024942,False,True
-155.0,-115.0,18,18,0.4594965741869903,0.27868891451205247,0.6833737242021671,0.40468480969011467,1.1887805565570515,-0.7292839823700612,False,True
-155.0,-105.0,10,10,0.5515740998724358,0.2070129144743972,0.895667053981192,0.6886541395067948,1.1887805565570515,-0.6372064566846157,False,True
-155.0,-95.0,8,8,0.6438461918363556,0.28950177714994896,0.9788226117751306,0.6893208346251817,1.1887805565570515,-0.5449343647206959,False,True
-155.0,-85.0,12,12,0.3669230518966311,0.06024899782760717,0.6829898472532857,0.6227408494256785,1.1887805565570515,-0.8218575046604204,False,True
